Strategy,Symbol,Starting Balance,Final Balance,Sharpe Ratio,Max Drawdown,SQN,Trades Taken,Win rate
TrendFollowingStrategy,AUDCAD,100000,99892.89469167903,-11.455991569728315,0.1415872262559936,-0.6337772794362432,379,35.88390501319261
CrashBoomStrategy,AUDCAD,100000,99650.37349922684,-7.262792124128993,0.5157567754544292,-0.6693737028649734,91,29.67032967032967
MaCrossOverBt,AUDCAD,100000,100000.0,,0.0,0.0,0,0.0
MeanReversionStrategy,AUDCAD,100000,100249.71710390956,-7.009062930364601,0.014184253898457008,1.3356476925254817,388,45.618556701030926
TrendFollowingStrategy,EURUSD,100000,99856.65751220906,-10.000464076808022,0.14843491761014965,-0.6852274554315319,419,36.27684964200477
CrashBoomStrategy,EURUSD,100000,100075.92702986753,-4.661123130427105,0.33292810440395343,0.15069940120980196,75,32.0
MaCrossOverBt,EURUSD,100000,100000.0,,0.0,0.0,0,0.0
MeanReversionStrategy,EURUSD,100000,100674.34068629396,-1.976931483033842,0.25105841448565974,1.4989074658042116,1499,46.497665110073385
TrendFollowingStrategy,GBPJPY,100000,100000.0,,0.0,0.0,0,0.0
CrashBoomStrategy,GBPJPY,100000,100000.0,,0.0,0.0,0,0.0
MaCrossOverBt,GBPJPY,100000,100000.0,,0.0,0.0,0,0.0
MeanReversionStrategy,GBPJPY,100000,100000.0,,0.0,0.0,0,0.0
TrendFollowingStrategy,USDCHF,100000,100004.86152704226,-84.36294185420975,0.12388940266776499,-0.007157123088223331,379,39.31398416886543
CrashBoomStrategy,USDCHF,100000,100223.20251354841,-3.9784091788067695,0.425807708044626,0.18218917217022246,93,34.40860215053764
MaCrossOverBt,USDCHF,100000,100000.0,,0.0,0.0,0,0.0
MeanReversionStrategy,USDCHF,100000,100404.59234835171,-3.5631883383848937,0.09847345057966615,1.258687874230953,853,44.7831184056272
TrendFollowingStrategy,AUDNZD,100000,100296.96278085513,-4.334685474201126,0.07694075993894946,1.8331600684641542,363,42.42424242424242
CrashBoomStrategy,AUDNZD,100000,99280.44488205052,-5.296642309275954,0.7881848483032892,-1.5343593494807952,127,25.196850393700785
MaCrossOverBt,AUDNZD,100000,100000.0,,0.0,0.0,0,0.0
MeanReversionStrategy,AUDNZD,100000,102399.66717927478,0.32631776461579676,0.016693796871175965,6.104703101451131,1435,50.801393728223
TrendFollowingStrategy,USDJPY,100000,100000.0,,0.0,0.0,0,0.0
CrashBoomStrategy,USDJPY,100000,100000.0,,0.0,0.0,0,0.0
MaCrossOverBt,USDJPY,100000,100000.0,,0.0,0.0,0,0.0
MeanReversionStrategy,USDJPY,100000,100000.0,,0.0,0.0,0,0.0
TrendFollowingStrategy,GBPUSD,100000,99609.0331052418,-16.682664092915946,0.42934453418322055,-1.5892947401638404,404,33.415841584158414
CrashBoomStrategy,GBPUSD,100000,99314.44832401839,-3.9165488406758406,0.8603698842577282,-1.1804492748823128,69,30.434782608695656
MaCrossOverBt,GBPUSD,100000,100000.0,,0.0,0.0,0,0.0
MeanReversionStrategy,GBPUSD,100000,100609.65277857735,-1.789367954393683,0.12892273360234405,1.0683411089143857,1652,45.27845036319613
